Title,Artist,Year,Additional information
"""All My Love for Christmas""",Lonestar,1998,Peaked at No. 61 on Billboard's Hot Country Singles & Tracks chart in 1999.[34][35] From the 1998 various artists album Country Christmas Classics on RCA Records.
"""Amen""",The Impressions,1964,"Featured in the 1963 film Lilies of the Field. Peaked at No. 7 on Billboard's Hot 100 singles chart on the week ending January 9, 1965, and at No. 17 on Billboard's Hot Rhythm & Blues Singles chart on the week ending January 30, 1965. An updated recording by the group titled ""Amen (1970)"" was released in November 1969, peaking at No. 44 on Billboard's Best Selling Soul Singles chart on the week ending January 10, 1970, and at No. 110 on Billboard's Bubbling Under The Hot 100 chart on the week ending January 3, 1970.[36][37]"
"""Amen""",Lloyd Price and Erma Franklin,1964,"Peaked at No. 124 on Billboard's Bubbling Under The Hot 100 chart on the week ending December 26, 1964.[38]"
"""Angels Among Us""",Alabama,1993,"Reached No. 51 on Billboard's Hot Country Singles & Tracks chart from unsolicited airplay, as a partial Christmas single from the band's album Cheap Seats. Charted again in 1994 and 1995.[39][40]"
"""Angels We Have Heard on High""",Sonicflood,2003,"Traditional French carol known as Les Anges dans nos campagnes translated to English in 1862 by James Chadwick. Peaked at No. 21 on the Billboard Christian Songs chart in 2004. Chris Tomlin also had a hit version on the Christian Songs chart in 2006, peaking at No. 5.[41]"
"""Another Lonely Christmas""",Prince and The Revolution,1984,"Peaked at No. 5 on Billboard's Christmas Singles chart. Originally released as the B-side of Prince and The Revolution's 1984 single ""I Would Die 4 U"".[38]"
"""At This Table""",Idina Menzel,2019,From the album Christmas: A Season of Love.
"""Auld Lang Syne""",Peerless Quartet,1921,Peaked at No. 5 on one of the top-selling music charts in December 1921.[1][42] Written by Robert Burns as a Scots-language poem in 1788[43][44] and set to the tune of a traditional folk song (Roud no. 6294).
"""Auld Lang Syne""",Guy Lombardo and His Royal Canadians,1939,First recorded and released by Decca Records in 1939 (Decca 2478) and again in 1947 (Decca 24260). A Decca re-release charted on the Music Vendor Christmas list of 1963. Lombardo first performed the song on radio in 1929.
"""Auld Lang Syne""",Kenny G,1999,"Subtitled ""The Millennium Mix"". Peaked at No. 7 on Billboard's Hot 100 singles chart on the week ending January 8, 2000.[45][46]"
"""Away in a Manger""",Reba McEntire,1987,"Peaked at No. 73 on Billboard's Hot Country Singles & Tracks chart on the week ending January 9, 1999.[47][48] From her 1987 holiday album Merry Christmas to You."
"""Away in a Manger""",Kenny Chesney,1998,"Peaked at No. 67 on Billboard's Hot Country Singles & Tracks chart on the week ending January 8, 2000.[8][49]"
"""Away in a Manger""",Casting Crowns,2005,"Peaked at No. 7 on Billboard's Hot Christian Songs chart on the week ending January 7, 2006.[50]"
"""Babes in Toyland/March of the Toys""",Tommy Dorsey Orchestra,1939,Written by Victor Herbert and Glen MacDonough.[51] Popular by Arthur Fiedler and the Boston Pops orchestra (1958). Later recorded by Doc Severinsen and the Tonight Show Orchestra (1991).
"""A Baby Changes Everything""",Faith Hill,2008,"Spent three weeks at No. 1 on Billboard's Hot Adult Contemporary Tracks chart.[52] From Hill's first Christmas album, Joy to the World."
"""Baby, It's Cold Outside""",Dinah Shore & Buddy Clark,1949,"With orchestra under the direction of Ted Dale. Written in 1944 by Frank Loesser. From the 1949 film Neptune's Daughter starring Esther Williams and Red Skelton. Peaked at No. 3 on the Billboard Records Most Played By Disk Jockeys chart, at No. 4 on the Billboard Best-Selling Popular Retail Records chart, and at No. 6 on the Billboard Most-Played Juke Box Records chart in mid 1949.[53][54]"
"""Baby, It's Cold Outside""",Margaret Whiting & Johnny Mercer,1949,"With Paul Weston and his orchestra. Peaked at No. 3 on the Billboard Records Most Played By Disk Jockeys chart, at No. 4 on the Billboard Best-Selling Popular Retail Records chart, and at No. 8 on the Billboard Most-Played Juke Box Records chart in mid 1949.[55][56]"
"""Baby, It's Cold Outside""",Ella Fitzgerald & Louis Jordan & His Tympany Five,1949,Peaked at No. 9 on the Billboard Most-Played Juke Box Records chart and at No. 17 on the Billboard Best-Selling Popular Retail Records chart in mid 1949.[57][58]
"""Baby, It's Cold Outside""",Don Cornell & Laura Leslie,1949,"With Sammy Kaye and his orchestra. Peaked at No. 12 on the Billboard Records Most Played By Disk Jockeys chart, at No. 13 on the Billboard Best-Selling Popular Retail Records chart, and at No. 17 on the Billboard Most-Played Juke Box Records chart in mid 1949.[3][59]"
"""Baby, It's Cold Outside""",Homer & Jethro with June Carter,1949,"Peaked at No. 22 on the Billboard Records Most Played By Disk Jockeys chart on the week ending August 20, 1949.[36][60]"
"""Baby, It's Cold Outside""",Dean Martin,1959,"From Martin's 1959 album A Winter Romance (with orchestra conducted by Gus Levene). Reached No. 1 on the Billboard Holiday Digital Song Sales chart on the week ending October 29, 2011.[61] Also peaked at No. 17 on the Billboard Holiday 100 chart[62] and at No. 15 on the Billboard Holiday Streaming Songs chart on the week ending December 22, 2018.[63] First entered the Billboard Hot 100 chart at No. 45 on the week ending January 4, 2020.[64]"
"""Baby, It's Cold Outside""",Ray Charles & Betty Carter,1962,"With orchestra conducted by Marty Paich. Peaked at No. 91 on the Billboard Hot 100 chart on the week ending March 10, 1962.[15][65]"
"""Baby, It's Cold Outside""",Lady Antebellum,2008,"Peaked at No. 26 on the Billboard Holiday 100 chart on the week ending December 31, 2011,[66] and at No. 6 on the Billboard Holiday Digital Song Sales chart on the week ending November 26, 2011.[67]"
"""Baby, It's Cold Outside""",Glee Cast featuring Chris Colfer and Darren Criss,2010,"Peaked at No. 57 on the Billboard Hot 100 chart on the week ending December 25, 2010.[68] Performed in the 2010 Glee episode ""A Very Glee Christmas."""
"""Baby, It's Cold Outside""",Idina Menzel and Michael Buble,2014,"Spent three weeks at No. 1 on the Billboard Adult Contemporary chart from mid December 2014 into early January 2015.[69] Also peaked at No. 14 on the Billboard Holiday 100 chart on the week ending December 13, 2014,[70] and at 78 on the Billboard Hot 100 chart on the week ending December 6, 2014.[71]"
"""Baby Jesus Is Born""",Garth Brooks,1999,Peaked at No. 62 on the Billboard Hot Country Singles & Tracks chart.[72][73]
"""Baby's First Christmas""",Connie Francis,1961,"Featuring the Don Costa Orchestra. Peaked at No. 7 on Billboard's Middle-Road Singles chart and No. 24 on the Billboard Hot 100 singles chart in 1961, and at No. 13 on Billboard's Christmas Singles chart in 1965.[74][75]"
"""Back Door Santa""",Clarence Carter,1968,"Released on the 1968 various artists holiday soul album Soul Christmas.[15] Also recorded by Bon Jovi for the 1987 various artists holiday compilation A Very Special Christmas (though it was removed from later pressings), and sampled by Run-D.M.C. for their hit, ""Christmas in Hollis"" (which was also included on A Very Special Christmas)."
"""Barefoot Santa Claus""",Sonny James (The Southern Gentleman),1966,Peaked at No. 9 on Billboard's Christmas Singles chart. Charted again in 1968. Features a children's chorus on backing vocals. From the album My Christmas Dream.[76]
"""Because It's Christmas (For All the Children)""",Barry Manilow,1990,"Peaked at No. 38 on the Billboard Hot Adult Contemporary Tracks chart in 1991.[5][77] From Manilow's first Christmas album, Because It's Christmas."
"""Believe""",Josh Groban,2004,"Peaked at No. 1 for five weeks on the Billboard Hot Adult Contemporary Tracks chart, and ""Bubbled under"" the Billboard Hot 100 chart with a peak position of #112.[78] From the 2004 film The Polar Express."
"""The Bell That Couldn't Jingle""",Bobby Vinton,1964,"Written by Burt Bacharach and Larry Kusik. Paul Evans, Bobby Helms, Herb Alpert, Anita Kerr, and Bacharach each recorded the song as well, but only Vinton's version charted, reaching No. 23 on the Billboard Christmas Singles chart.[13]"
"""Belleau Wood""",Garth Brooks,1997,Peaked at No. 41 on Billboard Hot Country Singles & Tracks chart in 1998. From Brooks's album Sevens.[72][79]
"""The Bells of St. Mary's""",Bing Crosby,1945,"Written by A. Emmett Adams and Douglas Furber in 1917.[80] While the song has no lyrical relation to Christmas, its inclusion in the 1945 film of the same name has made it a popular choice for various artists' holiday albums."
"""Better Days""",Goo Goo Dolls,2006,"Despite its overtly Christian tone and obvious references to Christmas, this song managed to reach No. 3 on the Billboard Hot Adult Top 40 Tracks chart, and remains in regular rotation on hot adult top 40 stations.[81]"
"""The Blessings""",Alabama,1996,Peaked at No. 72 on the Billboard Hot Country Singles & Tracks chart in 1997.[39][82]
"""Blue Christmas""",Ernest Tubb,1949,"Peaked at No. 1 on Billboard's Most-Played Juke Box (Country & Western) Records chart in the issue dated January 7, 1950. Also made these other Billboard music charts in December 1949 (with peak positions shown): Best-Selling Retail Folk (Country & Western) Records (No. 2), Country & Western Records Most Played by Folk Disk Jockeys (No. 2), Records Most Played by Disk Jockeys (No. 23), and Most Played Juke Box Records (No. 26).[83][84] Written as a country song by Billy Hayes and Jay W. Johnson in 1948, and first recorded by Doye O'Dell that year. Ranks as the all-time number one holiday single on Billboard's Hot Country Songs chart."
"""Blue Christmas""",Hugo Winterhalter and His Orchestra,1949,"Peaked at No. 9 on Billboard's Records Most Played by Disk Jockeys chart in the issue dated January 7, 1950. Also made these other Billboard music charts in December 1949 (with peak positions shown): Most-Played Juke Box Records (No. 18) and Best Selling Pop Singles (No. 21). Re-entered Billboard's Most Played by Disk Jockeys chart in December 1950, peaking at No. 20.[85][86]"
"""Blue Christmas""",Russ Morgan and His Orchestra,1949,"Made these Billboard music charts in December 1949 (with peak positions shown): Best Selling Pop Singles (No. 11), Most-Played Juke Box Records (No. 13), and Records Most Played by Disk Jockeys (No. 18). Vocals by Russ Morgan and The Morganaires.[87][88]"
"""Blue Christmas""",Elvis Presley,1957,"From the album Elvis' Christmas Album. First released as a commercial single in 1964. Made it onto Billboard's special Christmas Singles chart each December from 1964 to 1970, 1972, 1973, and then again from 1983 to 1985. Peaked at No. 1 on Billboard's Christmas Singles chart on the week ending December 5, 1964, and then again on the week ending December 22, 1973.[38][89] First entered Billboard's Hot 100 chart on the week ending January 5, 2019, peaking at No. 33 upon its chart re-entry on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Country Airplay (No. 55), Country Digital Song Sales (No. 22), Country Streaming Songs (No. 5), Digital Song Sales (No. 47), Global 200 (No. 36), Holiday 100 (No. 12), Holiday Airplay (No. 9), Holiday Digital Song Sales (No. 8), Holiday Streaming Songs (No. 9), Hot 100 Recurrents (No. 3), Hot Country Singles & Tracks (No. 55), Rock Digital Song Sales (No. 5), Rock Streaming Songs (No. 1), and Streaming Songs (No. 26).[90]"
"""Blue Christmas""",The Browns featuring Jim Edward Brown,1960,"Charted one week on Billboard's Hot 100 chart at No. 97 (week ending December 19, 1960). Features a guitar solo by Chet Atkins.[91][92]"
"""Blue Christmas""",Vince Gill,1998,"Charted one week on Billboard's Hot Country Singles & Tracks chart at No. 74 (week ending January 9, 1999).[93][94]"
"""Blue Christmas""",Clay Walker,2000,"Peaked at No. 51 on Billboard's Hot Country Singles & Tracks chart (week ending January 13, 2001).[13][95]"
"""Blue Christmas""","Harry Connick, Jr.",2003,"Charted one week on Billboard's Adult Contemporary chart at No. 21 (week ending January 3, 2004).[96][97]"
"""Blue Christmas""",Elvis Presley with Martina McBride,2008,"Virtual duet featuring Presley's archived vocals mixed with McBride's vocals and re-recorded instrumentation. Made these Billboard music charts (with peak positions shown): Adult Contemporary (No. 22), Country Airplay (No. 36), and Hot Country Songs (No. 36).[90]"
"""Blue December""",Hugo Winterhalter and his Orchestra,1951,Peaked at No. 18 on Billboard's Records Most Played by Disk Jockeys chart in early 1952.[85][98]
"""Blue Holiday""",The Shirelles,1961,"Written by Willie Denson and Luther Dixon and recorded by The Shirelles in 1961. Later recorded by Aretha Franklin, and appeared in the 2002 film The Santa Clause 2.[99]"
"""Blue Lonely Winter""",Jimmy Newman,1967,Peaked at No. 11 on Billboard's Hot Country Singles chart in 1968.[100][101]
"""Blue Winter""",Connie Francis,1964,Peaked at No. 24 on the Billboard Hot 100 singles chart and No. 7 on the Billboard Middle-Road Singles chart in March 1964.[74][102]
"""Boogie Woogie Santa Claus""",Mabel Scott,1948,"Peaked at No. 12 on Billboard's Race Records chart.[103][104] Written by Leon René. Other versions recorded by Patti Page (1950), Inner Voices (1994), Dave Koz (2001), the Brian Setzer Orchestra (2002) and Brenda Russell (2003)."
"""Breath of Heaven (Mary's Song)""",Amy Grant,1992,From the album Home For Christmas.[105]
"""Call Me Claus""",Garth Brooks,2001,"Peaked at No. 22 on the Billboard Hot 100 sales chart in October 2001, and later reached No. 55 on the Hot Country Singles & Tracks chart in 2002. Title song from the TV movie starring Whoopi Goldberg.[72][106]"
"""Candy Cane Children""",The White Stripes,2002,
"""Candy Cane Christmas""",Darius Rucker,2009,"Peaked at No. 16 on the Billboard Adult Contemporary chart, and No. 32 on the Country chart in 2010.[107] Originally released on the various-artists CD Now That's What I Call Christmas! 4 in 2010, and later on Rucker's 2014 album Home for the Holidays."
"""Carol of the Bells""",John Tesh,1997,Peaked at No. 20 on Billboard's Hot Adult Contemporary Tracks chart in 1998.[12] A version by Kim Walker-Smith peaked at No. 13 on Billboard's Adult Contemporary chart in 2014.[108]
"""Caroling, Caroling""",Nat King Cole,1960,"Written by Alfred Burt & Wihla Hutson.[109] Also recorded by Natalie Cole, Tennessee Ernie Ford, and the King Family."
"""Celebrate Me Home""",Kenny Loggins,1977,"Title track of Loggins' 1977 debut solo album. Released as a single, the studio version reached No. 64 on the US Record World pop chart in the spring of 1978.[110] A 2015 version by LeAnn Rimes featuring Gavin DeGraw peaked at No. 12 on the Billboard Adult Contemporary chart in 2015.[111]"
"""Cherry Cherry Christmas""",Neil Diamond,2009,"Peaked at No. 4 on Billboard's Adult Contemporary chart.[112] First single released from and title track on Diamond's third holiday album, A Cherry Cherry Christmas."
"""Child of God""",Bobby Darin,1960,"Peaked at No. 95 on the Billboard Hot 100 singles chart.[113][114] B-side of Darin's hit single ""Christmas Auld Lang Syne""."
"""Child of Winter""",The Beach Boys,1974,
"""Children, Go Where I Send Thee""",Kenny Rogers featuring Home Free,2015,Peaked at No. 21 on Billboard's Hot Christian Songs chart in 2016. Another version by John Oates peaked at No. 29 on Billboard's Adult Contemporary chart in 2017.
"""Children's Christmas Song""",The Supremes,1965,Peaked at No. 7 on Billboard's Christmas Singles chart. Features a children's chorus on backing vocals.[115]
"""The Chipmunk Song (Christmas Don't Be Late)""",The Chipmunks,1958,"Spent four weeks at No. 1 on the Billboard Hot 100 singles chart in 1958, and reached No. 5 on Billboard's Hot R&B Sides chart in 1959.[8][116] Written by Ross Bagdasarian (a.k.a. David Seville). The most popular novelty Christmas single in the U.S. through the 1960s. Launched a 50-year music career for the fictional character group."
"""C-H-R-I-S-T-M-A-S""","Eddy Arnold, the Tennessee Plowboy and his Guitar",1949,Peaked at No. 7 on Billboard's Country & Western Records Most Played by Folk Disk Jockeys charts.[2][117] Written by Eddy Arnold & Jenny Lou Carson. Also recorded by the Ames Brothers and Jim Reeves.
"""Christmas Ain't Christmas (Without the One You Love)""",The O'Jays,1969,"Written and produced by Kenny Gamble and Leon Huff. The song's original title was the longer ""(Christmas Ain't Christmas New Year's Ain't New Year's) Without the One You Love"". Reissued by the group's record label (Philly International) in 1973 following the group's huge success."
"""Christmas All Over Again""",Tom Petty and the Heartbreakers,1992,From the 1992 album A Very Special Christmas 2.[118] Subsequently featured later that year in the 1992 film Home Alone 2: Lost in New York.
"""Christmas Alphabet""",The McGuire Sisters,1954,Peaked at No. 25 on the popular records chart. Features orchestration by Dick Jacobs.[47][119]
"""Christmas at Ground Zero""","""Weird Al"" Yankovic",1986,
"""Christmas at K-Mart""",Root Boy Slim,1978,
"""Christmas at the Zoo""",The Flaming Lips,1995,"From the album Clouds Taste Metallic. Not intended to be a Christmas song, though the characteristic ""jingling bells"" are featured in the song, as well as talk of the holiday."
"""Christmas Auld Lang Syne""",Bobby Darin,1960,"Peaked at No. 51 on the Billboard Hot 100 singles chart in 1961.[113][120] The B-side ""Child of God"" also charted for one week in 1960."
"""Christmas (Baby Please Come Home)""",Darlene Love,1963,"Included on the 1963 holiday album A Christmas Gift for You from Phil Spector. Written by Phil Spector, Ellie Greenwich, and Jeff Barry. First entered Billboard's Hot 100 chart on the week ending December 29, 2018, peaking at No. 17 on the week ending December 11, 2021 (upon its third chart re-entry). Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 30), Holiday 100 (No. 7), Holiday Airplay (No. 42), Holiday Digital Song Sales (No. 21), Holiday Streaming Songs (No. 6), Hot 100 Recurrents (No. 1), R&B Digital Song Sales (No. 6), R&B Streaming Songs (No. 1), R&B/Hip-Hop Digital Song Sales (No. 16), R&B/Hip-Hop Streaming Songs (No. 1), and Streaming Songs (No. 8).[121]"
"""Christmas (Baby Please Come Home)""",U2,1987,"Released on the 1987 charity album A Very Special Christmas. Peaked at No. 45 on the Billboard Digital Song Sales chart on the week ending January 1, 2005, at No. 29 on the Billboard Rock Digital Song Sales chart on the week ending December 25, 2010, and at No. 30 on the Billboard Holiday Digital Song Sales chart on the week ending January 8, 2011.[122]"
"""Christmas (Baby Please Come Home)""",Mariah Carey,1994,"Peaked at No. 20 on the Billboard Holiday 100 chart and at No. 27 on the Billboard Holiday Airplay chart on the week ending December 29, 2012, at No. 12 on the Billboard Holiday Digital Song Sales chart on the week ending November 26, 2011, and at No. 15 on the Billboard Holiday Streaming Songs chart on the week ending December 28, 2013.[123]"
"""Christmas Blues""",Canned Heat,1968,Peaked at No. 18 on the Billboard Christmas Singles chart.[91] Also released as a single by The Chipmunks.
"""The Christmas Blues""",Dean Martin,1953,Written by David Holt and Sammy Cahn. Also recorded by Jo Stafford.
"""Christmas Canon""",Trans-Siberian Orchestra,1998,Chord progression is based on that of Pachelbel's Canon in D major.[124]
"""Christmas Can't Be Far Away""",Eddy Arnold and his Guitar,1954,Peaked at No. 12 on Billboard's Country & Western Records Most Played by Jockeys chart in 1955.[2][125]
"""Christmas Can't Be Very Far Away""",Amy Grant,1999,"Not to be confused with ""Christmas Can't Be Far Away"" by Eddy Arnold."
"""Christmas Carol""",Skip Ewing,1990,"Written in 1986 and first released on Ewing's 1990 album Following Yonder Star. First charted on Billboard's Hot Country Singles & Tracks chart in 1996, peaking at No. 68.[126][127]"
"""Christmas Carols by the Old Corral""",Tex Ritter,1945,Peaked at No. 2 on Billboard's Most-Played Juke Box Folk Records chart.[128][129]
"""Christmas Celebration""",B. B. King,1963,"First charted on Billboard's Christmas Singles chart in 1964, peaking at No. 25. Charted again in 1967, peaking at No. 17.[45]"
"""Christmas Children""","David Collings, Richard Beaumont, & Karen Scargill",1970,From the 1970 children's holiday motion picture based on A Christmas Carol by Charles Dickens Scrooge. Featured in the soundtrack composed by Leslie Bricusse.
"""Christmas C'mon""",Lindsey Stirling featuring Becky G,2017,Peaked at No. 21 on the Billboard Adult Contemporary chart.
"""Christmas (Comes But Once a Year)""",Amos Milburn,1960,"Originally released as the B-side of Charles Brown's 1960 holiday hit single, ""Please Come Home for Christmas""."
"""Christmas Cookies""",George Strait,2001,From the 2001 various artists album Christmas Cookies. Peaked at No. 33 on Billboard's Hot Country Singles & Tracks chart in 2002.[115][130] Originally issued on the Target CD A Country Christmas 1999.
"""Christmas Day""",Eddie Fisher,1952,Peaked at No. 22 on the popular records chart. Features Hugo Winterhalter and his orchestra.[57] Written by Benny Davis and Ted Murry. Released within a four-record album set titled Christmas with Eddie Fisher.
"""Christmas Dinner""",Tennessee Ernie Ford,1951,"B-side is ""A Rootin' Tootin' Santa Claus""."
"""Christmas Dragnet (Parts I & II)""",Stan Freberg with Daws Butler,1953,"Peaked at No. 13 on Billboard's Best Selling Singles chart.[131][132] A parody of Dragnet and the follow-up to Freberg's No. 1 hit from several months earlier, ""St. George and the Dragonet"". In 1954, the same record was re-issued under the title ""Yulenet (Parts I & II)""."
"""Christmas Dream""",Perry Como,1974,Peaked at No. 92 on the Billboard Hot 100 singles chart. From the 1974 film The Odessa File.[96][133] Como's last appearance on the Billboard Hot 100.
"""Christmas Dreaming (A Little Early This Year)""",Frank Sinatra,1947,Peaked at No. 26 on the Billboard Pop Charts. Featuring the Axel Stordahl orchestra.[53]
"""Christmas Eve""",Kelly Clarkson,2017,Peaked at No. 2 on the Billboard Adult Contemporary chart in early 2018.
"""Christmas Eve in My Hometown""",Bobby Vinton,1970,Earlier recordings by Eddie Fisher and Kate Smith.
"""Christmas Eve/Sarajevo 12/24""",Savatage,1996,"The song is a medley including ""God Rest Ye Merry, Gentlemen"" and a hard rock version of ""Carol of the Bells"". First released in 1995 on the Savatage album Dead Winter Dead, but the same recording was re-released in 1996 as a track on the Trans-Siberian Orchestra album Christmas Eve and Other Stories.[83]"
"""Christmas for Cowboys""",John Denver,1975,From the album Rocky Mountain Christmas. Written by Steve Weisberg. Peaked at No. 58 on the Billboard Hot 100 chart.[113][134]
"""Christmas in America""",Pat Benatar,2001,Reached No. 22 on the Billboard Adult Contemporary chart and No. 37 on the Billboard Hot 100.[135][136] Later appeared on the 2003 album Go as a hidden track.
"""Christmas in Dixie""",Alabama,1982,"The original version featured Alabama wishing you ""Merry Christmas"" near the end of the song. Lead singer Randy Owen re-recorded the song with Kenny Chesney in 2003.[39][137]"
"""Christmas in Hollis""",Run-D.M.C.,1987,"An original song written and recorded by the group for charity, with the music video a perennial favorite on the MTV through the late 1980s and 1990s. It first appeared on two 1987 various artist holiday compilation albums: A Very Special Christmas and Christmas Rap, with the former album to benefit the Special Olympics. The track samples the 1968 soul tune ""Back Door Santa"" by Clarence Carter.[128][138]"
"""Christmas in Killarney""",Dennis Day,1950,"Featuring the Mellowmen on backing vocals and instrumentation by the Henri René Orchestra.[113][139] Another hit version was by Percy Faith and the Shillelagh Singers in 1950.[57] Also recorded on successful Christmas albums by Bing Crosby, Bobby Vinton and Anne Murray."
"""Christmas in My Hometown""",Sonny James,1954,Covered by Travis Tritt in 1992
"""Christmas in My Home Town""[140]",Charley Pride,1970,Peaked at No. 11 on the Billboard Christmas Singles chart.[38]
"""Christmas in New Orleans""",Louis Armstrong with the Benny Carter Orchestra,1955,
"""Christmas in the Caribbean""",Jimmy Buffett,1985,
"""Christmas in the City""",Elizabeth Chan,2014,Peaked at No. 29 on the Billboard Adult Contemporary chart in 2015.
"""Christmas in Your Arms""",Steve Wariner,2000,Peaked at No. 65 on the Billboard Hot Country Songs chart.[55][141]
"""Christmas Is"" (1)",Percy Faith,1966,"Written by Percy Faith and Spencer Maxwell. Originally recorded by Percy Faith in 1964 as an instrumental (""Judy""). Selected as the theme song for the 1967 Christmas Seals appeal. Also a hit that year for Lou Rawls."
"""Christmas Is"" (2)",Jim Brickman featuring Mark Masri,2008,Peaked at No. 18 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2008.[142]
"""Christmas Is for Children""",Glen Campbell,1968,"Written by Sammy Cahn. Peaked at #7 on Billboard's ""Best Bets For Christmas"" survey, December 1968.[91]"
"""Christmas Is Going to the Dogs""",Eels,2000,From the 2000 film How the Grinch Stole Christmas.
"""Christmas Is Just a Song for Us This Year""",Louise Mandrell and R.C. Bannon,1982,"B-side of ""Christmas in Dixie"" by Alabama. Reached No. 35 on the Hot Country Singles chart in 1982.[143]"
"""Christmas Is Just Around the Corner""",Barry Manilow,2008,Reached No. 16 on the Billboard Hot Adult Contemporary Tracks chart.[144]
"""Christmas Is Now Drawing Near at Hand""",Steve Winwood,1997,From the album A Very Special Christmas 3.
"""Christmas is the Time to Say 'I Love You'""",Billy Squier,1981,"Originally released as the B-side of Squier's 1981 single ""My Kinda Lover"".[145]"
"""Christmas Island""",The Andrews Sisters with Guy Lombardo and His Royal Canadians,1946,"Peaked at No. 7 on the Billboard Pop charts in 1946. Re-charted in 1947 and 1949.[2] Also a hit for Jimmy Buffett (1996), and The Brian Setzer Orchestra (2005)."
"""Christmas Kisses""",The Bookends,1961,With the Ray Anthony orchestra.
